rating,title,text,images,asin,parent_asin,user_id,timestamp,helpful_vote,verified_purchase
1,Wouldn’t charge.,Waste of money. They wouldn’t even charge.,[],B08HX33Y53,B0932M1STZ,AFB2D4VH7E7G4WKNEO2OVSVUX2GQ,2022-11-13 23:03:04.572,0,True
1,Not worth the money,It was not even close to what it looked online! Not worth the $  I paid for it,[],B07989JZGP,B07989JZGP,AFOMI3JRCN5KSQ5AXAGEDB67KHDA,2022-12-12 18:13:13.347,0,True
3,Poor Value.  Too Expensive.,"It’s nice and seems like it will last.  It’s smaller than I thought it would be, but that’s on me because I didn’t preview the dimensions.  The problem is this…. I WAY OVERPAID for this.  This bed is NOT worth the current price.  A reasonable price for this bed is $120.  I paid nearly $300.  I’m a fool.  Don’t make the same mistake.","[{'small_image_url': 'https://m.media-amazon.com/images/I/81b4zUc8otL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/81b4zUc8otL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/81b4zUc8otL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B009G9Y4LC,B07BYSHK6R,AESGFXD3FBBT5LSQJWHT53UAYVVA,2022-12-03 19:55:50.170,0,True
5,Cans guide themselves into the correct slot;no need to smash them on and as plastic lids.,"We have 13 oz. cans for our indoor cat/outdoor daily visitors,Excellent product;long reach spoon and silicone scrubber are real plus bonuses. Thank You!",[],B07C9GYLYM,B07C9GYLYM,AFVVH5O356EN4Q3AYKPCYB6ANYQA,2019-03-19 08:44:58.594,0,True
5,Promotes healthy teeth and gums,I give my dog one of these treats right before bed. They seem to help keep her teeth and gums cleaner,[],B07GC4WP3Z,B08KG7R846,AHFNLMHPFW74IWWNKSZMHQCW5J6A,2023-03-06 11:31:36.938,0,True
4,even when kept on the cool side of the tank,"Suctions cups are virtually worthless after 4-5 months, even when kept on the cool side of the tank.",[],B0002AQDKO,B07ZRZKLTQ,AE6QY6NC3APXTLODSO6QX4TJ7OUA,2016-01-30 06:26:54.000,0,True
1,destoyed in minutes,After a few minutes of playing with the ball the squeak mechanism in the ball is easily dislodged and left rattling around inside the ball...no more squeaking.  We have given the dog six of these balls and that has happened to every one.  They are basically just slightly undersized orange tennis balls with no squeak.,[],B07T1WKFWZ,B07T1WKFWZ,AG6MPTFM3AV3FJBEOULPTTZUNPVA,2020-06-23 14:09:03.667,0,True
5,I had the smaller one of these for years for ...,"I had the smaller one of these for years for my 58G tank and I wished it was stronger. So, I got this one and was extremely impressed. It can scrub even tough algae buildup.",[],B0002568ZO,B07C2JYM2X,AEPZH6D7DSZMZYAVWOLFW42UC63A,2015-06-01 06:49:19.000,0,True
5,Worth the Money,If you have a large breed dog this bed is a must.  Bed is high quality and well made.  I use a vacuum between washing the cover and it is fine.,[],B009G9Y6B0,B07BYSHK6R,AFOU5TCCEU32JPOXFV4KZOOR6O3Q,2020-05-01 11:48:28.118,0,True
5,Best Parka For My Vizsla,"This parka is THE BEST jacket that I have ever found for my Vizsla. The quality is top notch, the material is durable.  It is wind resistant, water resistant and insulated.  This coat kept him warm in the sub-0° temperatures in northern New York. It is also durable enough to withstand his forest romps!","[{'small_image_url': 'https://m.media-amazon.com/images/I/711TqQYTkmL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/711TqQYTkmL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/711TqQYTkmL._SL1600_.jpg', 'attachment_type': 'IMAGE'}, {'small_image_url': 'https://m.media-amazon.com/images/I/713GEioAqKL._SL256_.jpg', 'medium_image_url': 'https://m.media-amazon.com/images/I/713GEioAqKL._SL800_.jpg', 'large_image_url': 'https://m.media-amazon.com/images/I/713GEioAqKL._SL1600_.jpg', 'attachment_type': 'IMAGE'}]",B07WF9FFK3,B0B815NWZS,AFBSIJTVRK7GSUEGAC2TJTKRPFPQ,2022-05-09 12:17:59.448,3,True
5,Happy Customer,Perfect for our Great Dane - keeps its shape well and long enough he can’t reach his front legs.,[],B007K5BR3C,B0BL6CCQT3,AF6F2ZPJLGT2FUDPUVTVJDYPVH6A,2019-04-21 05:55:19.534,0,True
5,Looks good in it,Keeps my boy dog dry.  Looks good in it.,[],B007T4K8FW,B07614RXVG,AG7GD5WHCQEB66YTAIG3J54QVLSQ,2014-12-25 22:14:43.000,0,True
